시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도,사고건수
경기도,이천시,경충대로,,경기도 이천시 사음동 573-6,6,1,N,N,37.29893172,127.4083816,7,6,23.2,Y,Y,N,25,,N,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.928,0
경기도,이천시,경충대로,,경기도 이천시 사음동 546,7,1,Y,N,37.29601878,127.411772,6,6,19.6,Y,Y,N,20,,N,Y,N,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.98,0
경기도,이천시,경충대로,,경기도 이천시 사음동 192-5,8,1,N,N,37.29423837,127.4184952,6,8,19.4,Y,Y,N,20,,N,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.97,0
경기도,이천시,경충대로,,경기도 이천시 사음동 169-1,9,1,N,N,37.29401706,127.4199376,8,8,19.2,Y,Y,N,20,,N,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.96,0
경기도,이천시,경충대로,,경기도 이천시 관고동 218-10,10,1,N,N,37.28169116,127.4325212,6,8,20.8,Y,Y,N,23,,N,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.904348,0
경기도,이천시,경충대로,,경기도 이천시 관고동 산52-7,11,1,Y,N,37.28021917,127.4334374,6,8,22.8,Y,Y,N,25,,N,Y,N,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.912,0
경기도,이천시,경충대로,,경기도 이천시 관고동 509,12,4,Y,N,37.27746306,127.4356317,6,6,22.2,Y,Y,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.888,0
경기도,이천시,경충대로,,경기도 이천시 중리동 315,13,4,Y,N,37.27583167,127.4382382,7,8,23.6,Y,Y,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.944,0
경기도,이천시,경충대로,,경기도 이천시 중리동 117-6,14,4,Y,N,37.27463819,127.4466311,6,8,22.6,Y,N,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.904,0
경기도,이천시,경충대로,,경기도 이천시 중리동 36-9,15,4,Y,N,37.27460794,127.4474878,6,8,22.6,Y,N,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.904,0
경기도,이천시,경충대로,,경기도 이천시 진리동 8,16,4,Y,N,37.27413594,127.4507999,6,6,19.6,Y,N,N,20,,Y,Y,Y,Y,경기도 이천시청,031-644-2382,2021-03-03,4070000,경기도 이천시,0.98,0
