사고날짜,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자.차종,가해운전자.성별,가해운전자.연령,가해운전자.상해정도,피해운전자.차종,피해운전자.성별,피해운전자.연령,피해운전자.상해정도,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도,날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-01-01,2.01801E+15,2018년 1월 1일 20시,1,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,2,기타 - 기타,승용,남,47세,상해없음,보행자,남,78세,중상,경기도,파주시,금릉역로,경기도 파주시 금릉역로,경기도 파주시 금촌동 978-13,177,1,1,N,37.75149317,126.7659259,4,7.9,20.5,1,1,N,26,50,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.788461538,2018-01-01 00:00:00,99,-5.6,-12.4,2.8
2018-04-02,2.01804E+15,2018년 4월 2일 05시,1,경기도 파주시 문산읍,4,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,단일로 - 기타,승용,남,64세,상해없음,보행자,남,83세,사망,경기도,파주시,통일로,경기도 파주시 문산읍 통일로 1826,경기도 파주시 문산읍 선유리 산 76-4,86,1,1,N,37.87066938,126.7885017,4,5.8,16.9,1,1,N,20,93,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.845,2018-04-02 00:00:00,99,17,13.7,21.9
2018-04-10,2.01804E+15,2018년 4월 10일 21시,2,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,교차로 - 교차로횡단보도내,화물,남,36세,상해없음,보행자,남,31세,중상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 1,경기도 파주시 금촌동 978-37,193,1,1,N,37.75007727,126.768648,6,5.8,21.2,1,1,Y,27,88,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.785185185,2018-04-10 00:00:00,99,12.2,0.5,21.8
2018-06-05,2.01806E+15,2018년 6월 5일 14시,2,경기도 파주시 금촌동,3,0,1,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,남,57세,상해없음,보행자,남,82세,중상,경기도,파주시,금정로,경기도 파주시 금정로 41,경기도 파주시 금촌동 803-7,141,1,1,N,37.75858432,126.7754701,1,3.9,15.7,1,1,N,30,118,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.523333333,2018-06-05 00:00:00,99,20.7,13.5,28.8
2018-06-09,2.01806E+15,2018년 6월 9일 08시,6,경기도 파주시 금촌동,3,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,단일로 - 기타,승합,여,48세,상해없음,보행자,여,58세,중상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 192,경기도 파주시 금촌동 329-95,112,1,1,N,37.76507279,126.7739127,1,4.1,27.3,1,1,Y,34,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.802941176,2018-06-09 00:00:00,99,20.4,16,29
2018-06-25,2.01806E+15,2018년 6월 25일 13시,1,경기도 파주시 문산읍,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로안,승용,남,36세,상해없음,보행자,남,80세,중상,경기도,파주시,문산역로,경기도 파주시 문산읍 문산역로 91,경기도 파주시 문산읍 문산리 17-421,37,1,1,N,37.85450156,126.7870906,4,7.5,13,1,1,Y,36,84,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.361111111,2018-06-25 00:00:00,99,23.5,18.3,30.7
2018-07-19,2.01807E+15,2018년 7월 19일 20시,4,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,1,단일로 - 기타,승용,여,21세,상해없음,보행자,여,26세,경상,경기도,파주시,사임당로,경기도 파주시 문산읍 사임당로 10,경기도 파주시 문산읍 선유리 1360,91,1,1,N,37.8586458,126.795938,5,7.7,17.4,1,1,N,24,95,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.725,2018-07-19 00:00:00,99,26,21.5,32.8
2018-08-08,2.01808E+15,2018년 8월 8일 07시,3,경기도 파주시 금촌동,2,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,1,교차로 - 교차로횡단보도내,승용,남,58세,상해없음,보행자,남,57세,경상,경기도,파주시,새꽃로,경기도 파주시 새꽃로 192,경기도 파주시 금촌동 329-95,112,1,1,N,37.76507279,126.7739127,1,4.1,27.3,1,1,Y,34,115,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.802941176,2018-08-08 00:00:00,99,29,25.5,34.8
2018-09-12,2.01809E+15,2018년 9월 12일 11시,3,경기도 파주시 야당동,3,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,단일로 - 기타,승용,여,49세,상해없음,보행자,여,67세,중상,경기도,파주시,소리천로8번길,경기도 파주시 소리천로8번길 46,경기도 파주시 야당동 1062,458,1,1,N,37.71200809,126.7602549,4,5.6,16.1,1,1,N,20,90,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.805,2018-09-12 00:00:00,99,20.1,14.1,27.8
2018-09-22,2.01809E+15,2018년 9월 22일 15시,6,경기도 파주시 문산읍,2,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,1,교차로 - 교차로부근,승용,남,35세,상해없음,보행자,남,7세,경상,경기도,파주시,봉미로,경기도 파주시 문산읍 봉미로 53,경기도 파주시 문산읍 당동리 89-4,19,1,1,N,37.86437142,126.7833603,3,5.5,8.3,1,1,N,18,107,1,1,1,1,파주시청,031-940-5791,44306,4060000,경기도 파주시,0.461111111,2018-09-22 00:00:00,99,19.4,12.2,25.9
