사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
149767,2013098,4148025023,41480001,경기도 파주시1,경기도 파주시 문산읍((에스엠마트) 부근),3,3,0,2,1,0,126.7873099,37.86034671,"{""type"":""Polygon"",""coordinates"":[[[126.788917,37.8616208],[126.7885726,37.8618449],[126.7881796,37.8620115],[126.7877533,37.862114],[126.7873099,37.8621486],[126.7868665,37.862114],[126.7864401,37.8620115],[126.7860472,37.8618449],[126.7857028,37.8616208],[126.7854201,37.8613478],[126.7852101,37.8610363],[126.7850808,37.8606982],[126.7850371,37.8603467],[126.7850808,37.8599952],[126.7852101,37.8596571],[126.7854202,37.8593456],[126.7857028,37.8590726],[126.7860472,37.8588485],[126.7864401,37.858682],[126.7868665,37.8585794],[126.7873099,37.8585448],[126.7877532,37.8585794],[126.7881796,37.858682],[126.7885725,37.8588485],[126.7889169,37.8590726],[126.7891996,37.8593456],[126.7894096,37.8596571],[126.7895389,37.8599952],[126.7895826,37.8603467],[126.789539,37.8606982],[126.7894096,37.8610363],[126.7891996,37.8613478],[126.788917,37.8616208]]]}"
149768,2013098,4148010100,41480002,경기도 파주시2,경기도 파주시 금촌동((옛고을감자탕앞) 부근),3,3,0,2,1,0,126.7715206,37.75810346,"{""type"":""Polygon"",""coordinates"":[[[126.7731255,37.7593776],[126.7727815,37.7596017],[126.7723891,37.7597682],[126.7719634,37.7598708],[126.7715206,37.7599054],[126.7710778,37.7598708],[126.770652,37.7597682],[126.7702596,37.7596017],[126.7699157,37.7593776],[126.7696334,37.7591045],[126.7694237,37.758793],[126.7692945,37.758455],[126.7692509,37.7581034],[126.7692946,37.7577519],[126.7694237,37.7574139],[126.7696335,37.7571023],[126.7699157,37.7568293],[126.7702597,37.7566052],[126.770652,37.7564387],[126.7710778,37.7563362],[126.7715206,37.7563015],[126.7719633,37.7563362],[126.7723891,37.7564387],[126.7727815,37.7566052],[126.7731254,37.7568293],[126.7734077,37.7571023],[126.7736174,37.7574139],[126.7737466,37.7577519],[126.7737902,37.7581034],[126.7737466,37.758455],[126.7736175,37.758793],[126.7734077,37.7591045],[126.7731255,37.7593776]]]}"
195852,2014105,4148025021,41480001,경기도 파주시1,경기도 파주시 문산읍((롯데리아) 부근),4,4,0,3,1,0,126.7853151,37.85662535,"{""type"":""Polygon"",""coordinates"":[[[126.7869221,37.8578995],[126.7865777,37.8581236],[126.7861848,37.8582901],[126.7857585,37.8583926],[126.7853151,37.8584272],[126.7848717,37.8583926],[126.7844454,37.8582901],[126.7840524,37.8581236],[126.783708,37.8578995],[126.7834254,37.8576264],[126.7832154,37.8573149],[126.7830861,37.8569769],[126.7830424,37.8566253],[126.7830861,37.8562738],[126.7832154,37.8559358],[126.7834255,37.8556242],[126.7837081,37.8553512],[126.7840525,37.8551271],[126.7844454,37.8549606],[126.7848717,37.8548581],[126.7853151,37.8548234],[126.7857584,37.8548581],[126.7861848,37.8549606],[126.7865777,37.8551271],[126.7869221,37.8553512],[126.7872047,37.8556242],[126.7874147,37.8559358],[126.787544,37.8562738],[126.7875877,37.8566253],[126.7875441,37.8569769],[126.7874147,37.8573149],[126.7872047,37.8576264],[126.7869221,37.8578995]]]}"
5135936,2014105,4148010100,41480002,경기도 파주시2,경기도 파주시 금촌동((파주시여성회관) 부근),3,3,0,3,0,0,126.77379,37.75647326,"{""type"":""Polygon"",""coordinates"":[[[126.7753948,37.7577474],[126.7750509,37.7579715],[126.7746585,37.758138],[126.7742328,37.7582406],[126.77379,37.7582752],[126.7733472,37.7582406],[126.7729214,37.758138],[126.772529,37.7579715],[126.7721851,37.7577474],[126.7719029,37.7574743],[126.7716931,37.7571628],[126.771564,37.7568248],[126.7715204,37.7564732],[126.771564,37.7561217],[126.7716932,37.7557837],[126.7719029,37.7554721],[126.7721852,37.7551991],[126.7725291,37.754975],[126.7729215,37.7548085],[126.7733472,37.7547059],[126.77379,37.7546713],[126.7742327,37.7547059],[126.7746585,37.7548085],[126.7750509,37.754975],[126.7753948,37.7551991],[126.775677,37.7554721],[126.7758868,37.7557837],[126.7760159,37.7561217],[126.7760595,37.7564732],[126.7760159,37.7568248],[126.7758868,37.7571628],[126.7756771,37.7574743],[126.7753948,37.7577474]]]}"
5053221,2014105,4148026227,41480003,경기도 파주시3,경기도 파주시 조리읍(그린씨티동문아파트 부근),3,3,0,2,1,0,126.815967,37.72772134,"{""type"":""Polygon"",""coordinates"":[[[126.8175712,37.7289955],[126.8172274,37.7292196],[126.8168352,37.7293861],[126.8164096,37.7294887],[126.815967,37.7295233],[126.8155244,37.7294887],[126.8150988,37.7293861],[126.8147065,37.7292196],[126.8143627,37.7289955],[126.8140806,37.7287224],[126.813871,37.7284109],[126.8137419,37.7280729],[126.8136983,37.7277213],[126.8137419,37.7273698],[126.813871,37.7270318],[126.8140807,37.7267202],[126.8143628,37.7264472],[126.8147066,37.7262231],[126.8150988,37.7260566],[126.8155244,37.725954],[126.815967,37.7259194],[126.8164096,37.725954],[126.8168352,37.7260566],[126.8172274,37.7262231],[126.8175712,37.7264472],[126.8178533,37.7267202],[126.818063,37.7270318],[126.8181921,37.7273698],[126.8182357,37.7277213],[126.8181921,37.7280729],[126.818063,37.7284109],[126.8178534,37.7287224],[126.8175712,37.7289955]]]}"
6100026,2015048,4148010100,41480001,경기도 파주시1,경기도 파주시 금촌동((장안프라자) 부근),4,4,0,3,0,1,126.7766112,37.76073239,"{""type"":""Polygon"",""coordinates"":[[[126.7782162,37.7620065],[126.7778722,37.7622306],[126.7774798,37.7623972],[126.777054,37.7624997],[126.7766112,37.7625343],[126.7761684,37.7624997],[126.7757426,37.7623972],[126.7753502,37.7622306],[126.7750063,37.7620065],[126.774724,37.7617335],[126.7745143,37.7614219],[126.7743851,37.7610839],[126.7743415,37.7607324],[126.7743851,37.7603808],[126.7745143,37.7600428],[126.7747241,37.7597313],[126.7750063,37.7594582],[126.7753503,37.7592341],[126.7757427,37.7590676],[126.7761684,37.7589651],[126.7766112,37.7589305],[126.777054,37.7589651],[126.7774798,37.7590676],[126.7778722,37.7592341],[126.7782161,37.7594582],[126.7784984,37.7597313],[126.7787082,37.7600428],[126.7788373,37.7603808],[126.7788809,37.7607324],[126.7788373,37.7610839],[126.7787082,37.7614219],[126.7784985,37.7617335],[126.7782162,37.7620065]]]}"
6222442,2016146,4148025622,41480001,경기도 파주시1,경기도 파주시 법원읍(불타는구공탄 부근),6,6,1,3,1,1,126.8741008,37.84918802,"{""type"":""Polygon"",""coordinates"":[[[126.87589745,37.84918802],[126.87586293,37.84891125],[126.87576069,37.84864511],[126.87559466,37.84839984],[126.87537123,37.84818486],[126.87509897,37.84800843],[126.87478836,37.84787733],[126.87445132,37.84779659],[126.87410082,37.84776933],[126.87375031,37.84779659],[126.87341328,37.84787733],[126.87310266,37.84800843],[126.87283041,37.84818486],[126.87260697,37.84839984],[126.87244095,37.84864511],[126.87233871,37.84891125],[126.87230419,37.84918802],[126.87233871,37.84946479],[126.87244095,37.84973092],[126.87260697,37.84997619],[126.87283041,37.85019116],[126.87310266,37.85036759],[126.87341328,37.85049869],[126.87375031,37.85057942],[126.87410082,37.85060668],[126.87445132,37.85057942],[126.87478836,37.85049869],[126.87509897,37.85036759],[126.87537123,37.85019116],[126.87559466,37.84997619],[126.87576069,37.84973092],[126.87586293,37.84946479],[126.87589745,37.84918802]]]}"
6222508,2016146,4148010100,41480002,경기도 파주시2,경기도 파주시 금촌동((금촌한의원) 부근),5,5,0,2,3,0,126.7744542,37.76401229,"{""type"":""Polygon"",""coordinates"":[[[126.77625086,37.76401229],[126.77621633,37.7637352],[126.7761141,37.76346876],[126.77594807,37.7632232],[126.77572464,37.76300797],[126.77545238,37.76283133],[126.77514177,37.76270008],[126.77480473,37.76261926],[126.77445423,37.76259196],[126.77410372,37.76261926],[126.77376669,37.76270008],[126.77345607,37.76283133],[126.77318382,37.76300797],[126.77296038,37.7632232],[126.77279436,37.76346876],[126.77269212,37.7637352],[126.7726576,37.76401229],[126.77269212,37.76428937],[126.77279436,37.76455581],[126.77296038,37.76480136],[126.77318382,37.76501659],[126.77345607,37.76519322],[126.77376669,37.76532447],[126.77410372,37.76540529],[126.77445423,37.76543258],[126.77480473,37.76540529],[126.77514177,37.76532447],[126.77545238,37.76519322],[126.77572464,37.76501659],[126.77594807,37.76480136],[126.7761141,37.76455581],[126.77621633,37.76428937],[126.77625086,37.76401229]]]}"
6222443,2016146,4148026200,41480003,경기도 파주시3,경기도 파주시 조리읍((봉일아파트앞) 부근),4,4,0,2,2,0,126.8057191,37.74411716,"{""type"":""Polygon"",""coordinates"":[[[126.80751578,37.74411716],[126.80748126,37.74383999],[126.80737902,37.74357348],[126.80721299,37.74332786],[126.80698956,37.74311257],[126.8067173,37.74293589],[126.80640669,37.7428046],[126.80606965,37.74272375],[126.80571915,37.74269645],[126.80536864,37.74272375],[126.80503161,37.7428046],[126.80472099,37.74293589],[126.80444874,37.74311257],[126.80422531,37.74332786],[126.80405928,37.74357348],[126.80395704,37.74383999],[126.80392252,37.74411716],[126.80395704,37.74439432],[126.80405928,37.74466083],[126.80422531,37.74490644],[126.80444874,37.74512173],[126.80472099,37.74529841],[126.80503161,37.74542969],[126.80536864,37.74551053],[126.80571915,37.74553783],[126.80606965,37.74551053],[126.80640669,37.74542969],[126.8067173,37.74529841],[126.80698956,37.74512173],[126.80721299,37.74490644],[126.80737902,37.74466083],[126.80748126,37.74439432],[126.80751578,37.74411716]]]}"
6222779,2016146,4148010100,41480004,경기도 파주시4,경기도 파주시 금촌동((양평해장국앞) 부근),3,3,0,3,0,0,126.7753935,37.75850206,"{""type"":""Polygon"",""coordinates"":[[[126.77719018,37.75850206],[126.77715565,37.75822495],[126.77705341,37.75795849],[126.77688739,37.75771291],[126.77666395,37.75749767],[126.7763917,37.75732102],[126.77608109,37.75718976],[126.77574405,37.75710892],[126.77539354,37.75708163],[126.77504304,37.75710892],[126.774706,37.75718976],[126.77439539,37.75732102],[126.77412313,37.75749767],[126.7738997,37.75771291],[126.77373367,37.75795849],[126.77363144,37.75822495],[126.77359691,37.75850206],[126.77363144,37.75877917],[126.77373367,37.75904563],[126.7738997,37.75929119],[126.77412313,37.75950644],[126.77439539,37.75968308],[126.774706,37.75981434],[126.77504304,37.75989517],[126.77539354,37.75992246],[126.77574405,37.75989517],[126.77608109,37.75981434],[126.7763917,37.75968308],[126.77666395,37.75950644],[126.77688739,37.75929119],[126.77705341,37.75904563],[126.77715565,37.75877917],[126.77719018,37.75850206]]]}"
6250879,2017029,4148010100,41480001,경기도 파주시1,경기도 파주시 금촌동((양평해장국앞) 부근),7,8,1,5,2,0,126.7753828,37.75868638,"{""type"":""Polygon"",""coordinates"":[[[126.77717939,37.75868638],[126.77714487,37.75840927],[126.77704263,37.75814281],[126.7768766,37.75789724],[126.77665317,37.75768199],[126.77638091,37.75750534],[126.7760703,37.75737408],[126.77573327,37.75729325],[126.77538276,37.75726596],[126.77503225,37.75729325],[126.77469522,37.75737408],[126.77438461,37.75750534],[126.77411235,37.75768199],[126.77388892,37.75789724],[126.77372289,37.75814281],[126.77362065,37.75840927],[126.77358613,37.75868638],[126.77362065,37.75896349],[126.77372289,37.75922995],[126.77388892,37.75947552],[126.77411235,37.75969076],[126.77438461,37.7598674],[126.77469522,37.75999866],[126.77503225,37.76007949],[126.77538276,37.76010678],[126.77573327,37.76007949],[126.7760703,37.75999866],[126.77638091,37.7598674],[126.77665317,37.75969076],[126.7768766,37.75947552],[126.77704263,37.75922995],[126.77714487,37.75896349],[126.77717939,37.75868638]]]}"
6242950,2017029,4148025021,41480002,경기도 파주시2,경기도 파주시 문산읍((한평부동산앞) 부근),4,4,1,3,0,0,126.7856074,37.85554452,"{""type"":""Polygon"",""coordinates"":[[[126.78740405,37.85554452],[126.78736953,37.85526777],[126.78726729,37.85500166],[126.78710126,37.85475641],[126.78687783,37.85454144],[126.78660557,37.85436503],[126.78629496,37.85423394],[126.78595792,37.85415321],[126.78560742,37.85412595],[126.78525691,37.85415321],[126.78491988,37.85423394],[126.78460926,37.85436503],[126.78433701,37.85454144],[126.78411358,37.85475641],[126.78394755,37.85500166],[126.78384531,37.85526777],[126.78381079,37.85554452],[126.78384531,37.85582126],[126.78394755,37.85608737],[126.78411358,37.85633262],[126.78433701,37.85654757],[126.78460926,37.85672399],[126.78491988,37.85685507],[126.78525691,37.85693579],[126.78560742,37.85696305],[126.78595792,37.85693579],[126.78629496,37.85685507],[126.78660557,37.85672399],[126.78687783,37.85654757],[126.78710126,37.85633262],[126.78726729,37.85608737],[126.78736953,37.85582126],[126.78740405,37.85554452]]]}"
6242552,2017029,4148035027,41480003,경기도 파주시3,경기도 파주시 광탄면(광신교 부근),3,3,0,1,2,0,126.8465093,37.78261331,"{""type"":""Polygon"",""coordinates"":[[[126.84830597,37.78261331],[126.84827145,37.78233629],[126.84816921,37.78206992],[126.84800318,37.78182442],[126.84777975,37.78160925],[126.84750749,37.78143265],[126.84719688,37.78130143],[126.84685984,37.78122063],[126.84650934,37.78119335],[126.84615883,37.78122063],[126.8458218,37.78130143],[126.84551118,37.78143265],[126.84523893,37.78160925],[126.84501549,37.78182442],[126.84484947,37.78206992],[126.84474723,37.78233629],[126.84471271,37.78261331],[126.84474723,37.78289033],[126.84484947,37.7831567],[126.84501549,37.78340219],[126.84523893,37.78361736],[126.84551118,37.78379395],[126.8458218,37.78392516],[126.84615883,37.78400596],[126.84650934,37.78403325],[126.84685984,37.78400596],[126.84719688,37.78392516],[126.84750749,37.78379395],[126.84777975,37.78361736],[126.84800318,37.78340219],[126.84816921,37.7831567],[126.84827145,37.78289033],[126.84830597,37.78261331]]]}"
6398110,2018029,4148026221,41480001,경기도 파주시1,경기도 파주시 조리읍(파주약국 부근),6,6,0,4,2,0,126.8070009,37.74369433,"{""type"":""Polygon"",""coordinates"":[[[126.80879748,37.74369433],[126.80876296,37.74341717],[126.80866072,37.74315065],[126.80849469,37.74290503],[126.80827126,37.74268974],[126.80799901,37.74251306],[126.80768839,37.74238177],[126.80735136,37.74230092],[126.80700085,37.74227362],[126.80665035,37.74230092],[126.80631331,37.74238177],[126.8060027,37.74251306],[126.80573044,37.74268974],[126.80550701,37.74290503],[126.80534098,37.74315065],[126.80523874,37.74341717],[126.80520422,37.74369433],[126.80523874,37.7439715],[126.80534098,37.74423801],[126.80550701,37.74448363],[126.80573044,37.74469891],[126.8060027,37.74487559],[126.80631331,37.74500688],[126.80665035,37.74508772],[126.80700085,37.74511502],[126.80735136,37.74508772],[126.80768839,37.74500688],[126.80799901,37.74487559],[126.80827126,37.74469891],[126.80849469,37.74448363],[126.80866072,37.74423801],[126.80876296,37.7439715],[126.80879748,37.74369433]]]}"
