시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도
경기도,파주시,경의로,경기도 파주시 경의로 1010,경기도 파주시 야당동 1037,481,1,N,N,37.7071655,126.7592187,6,6,25.6,Y,N,N,32,128,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.8
경기도,파주시,경의로,경기도 파주시 경의로 997-15,경기도 파주시 야당동 1037,483,1,N,N,37.70695789,126.7590294,5,5.7,33.2,Y,N,N,32,126,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,1.0375
경기도,파주시,경의로,경기도 파주시 경의로 997-15,경기도 파주시 야당동 1037,485,1,N,N,37.70676018,126.7592767,6,5.9,29.2,Y,N,N,30,128,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.973333333
경기도,파주시,경의로,경기도 파주시 경의로 1010,경기도 파주시 야당동 1037,487,1,N,N,37.70693833,126.7593782,5,5.9,35.5,Y,N,N,40,120,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.8875
경기도,파주시,경의로,경기도 파주시 경의로 966,경기도 파주시 야당동 922-2,491,1,N,N,37.70328505,126.759458,2,2.3,7.7,Y,N,Y,40,120,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.1925
경기도,파주시,경의로,경기도 파주시 경의로 1090,경기도 파주시 야당동 1040,495,1,Y,N,37.71432625,126.7604572,2,6,5.4,Y,N,N,24,116,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.225
경기도,파주시,경의로,경기도 파주시 경의로 1080,경기도 파주시 야당동 1071,496,1,Y,N,37.71417268,126.7602593,3,5.9,10.2,Y,N,N,24,116,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.425
경기도,파주시,경의로,경기도 파주시 경의로 1080,경기도 파주시 야당동 1040,497,1,Y,N,37.71400188,126.7604469,4,6,11.1,Y,N,N,24,116,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.4625
경기도,파주시,소리7교,경기도 파주시 소리7교,경기도 파주시 야당동 1038,498,1,Y,N,37.71416428,126.7605598,4,5.2,20.8,Y,N,N,24,116,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,0.866666667
경기도,파주시,소리천로8번길,경기도 파주시 소리천로8번길,경기도 파주시 야당동 1040,499,2,N,N,37.71415276,126.7604351,1,4.1,24.6,Y,N,N,24,116,N,Y,Y,N,파주시청,031-940-5791,2021-04-20,4060000,경기도 파주시,1.025
