시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 145-2,남해-7,01, ,N,34.87030858,127.8930906,2,6,18,N,N,N,25,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.72
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 145-2,남해-6,01, ,N,34.87030858,127.8930906,2,6,10,N,N,Y,25,165,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.4
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 119-1,남해-5,01, ,N,34.86876721,127.8933004,2,6,20,N,N,N,25,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.8
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 119-1,남해-4,01, ,N,34.86876721,127.8933004,2,6,8,N,N,N,25,165,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.32
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 317-3,남해-307,01, ,N,34.83721548,127.9966645,2,8,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 360-1,남해-308,01, ,N,34.83771109,127.9912085,2,8,15,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 821-3,남해-309,01, ,N,34.84659756,127.974007,2,8,15,N,N,N,20,,N,N,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 792-6,남해-310,01, ,N,34.84264983,127.9784366,2,8,15,N,N,N,20,,N,N,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 821-3,남해-311,01, ,N,34.8464805,127.974696,2,8,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 873,남해-312,01, ,N,34.83750386,127.9932641,2,8,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,흥선로1505번길,,경상남도 남해군 창선면 진동리 1382,남해-313,01, ,N,34.83841196,128.0692438,2,8,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,동부대로,,경상남도 남해군 창선면 대벽리 1073,남해-278,01, ,N,34.91546061,128.0296702,2,6,20,N,N,N,24,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.833333333
경상남도,남해군,서부로,,경상남도 남해군 창선면 대벽리 244-2,남해-279,01, ,N,34.91759903,128.0210031,2,6,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,서부로,,경상남도 남해군 창선면 대벽리 497-2,남해-280,01, ,N,34.91688776,128.0154432,2,6,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,서부로,,경상남도 남해군 창선면 대벽리 1096,남해-281,01, ,N,34.908613,128.0006681,2,6,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,서부로,,경상남도 남해군 창선면 대벽리 산 140-1,남해-282,01, ,N,34.91475162,128.0125426,2,6,12,N,N,N,20,,N,N,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,동부대로,,경상남도 남해군 창선면 대벽리 산 9-1,남해-283,01, ,N,34.91872371,128.0306674,2,6,20,N,N,N,24,,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.833333333
경상남도,남해군,동부대로,,경상남도 남해군 창선면 동대리 1025,남해-284,01, ,N,34.88853643,128.0129757,2,6,12,N,N,N,20,,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,동부대로,,경상남도 남해군 창선면 동대리 1025,남해-285,01, ,N,34.88853643,128.0129757,2,6,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,동부대로,,경상남도 남해군 창선면 동대리 1028,남해-286,01, ,N,34.88430861,128.0116075,2,6,12,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,동부대로,,경상남도 남해군 창선면 동대리 1029,남해-287,01, ,N,34.88001782,128.0086532,2,6,12,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,동부대로,,경상남도 남해군 창선면 동대리 1029,남해-288,01, ,N,34.88001782,128.0086532,2,6,12,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,동부대로,,경상남도 남해군 창선면 동대리 547,남해-289,01, ,N,34.86735186,128.0093188,2,6,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,창선로,,경상남도 남해군 창선면 동대리 1039,남해-290,01, ,N,34.8675232,128.0086516,2,6,15,N,N,N,20,,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,흥선로,,경상남도 남해군 창선면 부윤리 355-6,남해-291,01, ,N,34.84418796,128.0337111,2,8,12,N,N,N,20,,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,흥선로,,경상남도 남해군 창선면 부윤리 77-5,남해-292,01, ,N,34.84374587,128.0349246,2,8,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,흥선로,,경상남도 남해군 창선면 부윤리 산 54-6,남해-293,01, ,N,34.85023977,128.022133,2,8,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,서부로,,경상남도 남해군 창선면 서대리 1165-2,남해-294,01, ,N,34.87611188,127.9719089,2,6,15,N,N,Y,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 서대리 592-3,남해-295,01, ,N,34.8798279,127.9827377,2,6,15,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 서대리 741-2,남해-296,01, ,N,34.87871898,127.9820816,2,6,20,N,N,Y,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,1
경상남도,남해군,흥선로,,경상남도 남해군 창선면 수산리 404-6,남해-297,01, ,N,34.85536083,128.0188098,2,8,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,흥선로,,경상남도 남해군 창선면 오용리 1284,남해-298,01, ,N,34.86539251,128.0281092,2,8,15,N,N,N,20,,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75
경상남도,남해군,서부로,,경상남도 남해군 창선면 율도리 235-1,남해-299,01, ,N,34.90583676,127.9991032,2,6,12,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,서부로,,경상남도 남해군 창선면 율도리 454-4,남해-300,01, ,N,34.90139227,127.9919579,2,6,12,N,N,N,20,,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
경상남도,남해군,서부로1066번길,,경상남도 남해군 창선면 율도리 913,남해-301,01, ,N,34.89938206,127.994048,2,6,12,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6
