시도명,시군구명,도로명,소재지도로,소재지지번,횡단보도관,횡단보도종,자전거횡단,고원식적용,위도,경도,차로수,횡단보도폭,횡단보도연,보행자신호,보행자작동,음향신호기,녹색신호시,적색신호시,교통섬유무,보도턱낮춤,점자블록유,집중조명시,관리기관명,관리기관전,데이터기준,제공기관코,제공기관명,속도,사고건수
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 145-2,남해-7,1,,N,34.87030858,127.8930906,2,6,18,N,N,N,25,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.72,0
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 145-2,남해-6,1,,N,34.87030858,127.8930906,2,6,10,N,N,Y,25,165,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.4,0
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 119-1,남해-5,1,,N,34.86876721,127.8933004,2,6,20,N,N,N,25,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.8,0
경상남도,남해군,남해대로,,경상남도 남해군 고현면 도마리 119-1,남해-4,1,,N,34.86876721,127.8933004,2,6,8,N,N,N,25,165,N,Y,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.32,0
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 317-3,남해-307,1,,N,34.83721548,127.9966645,2,8,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75,0
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 360-1,남해-308,1,,N,34.83771109,127.9912085,2,8,15,N,N,N,20,,N,Y,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75,0
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 821-3,남해-309,1,,N,34.84659756,127.974007,2,8,15,N,N,N,20,,N,N,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75,0
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 792-6,남해-310,1,,N,34.84264983,127.9784366,2,8,15,N,N,N,20,,N,N,N,Y,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75,0
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 821-3,남해-311,1,,N,34.8464805,127.974696,2,8,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75,0
경상남도,남해군,서부로,,경상남도 남해군 창선면 지족리 873,남해-312,1,,N,34.83750386,127.9932641,2,8,15,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.75,0
경상남도,남해군,흥선로1505번길,,경상남도 남해군 창선면 진동리 1382,남해-313,1,,N,34.83841196,128.0692438,2,8,12,N,N,N,20,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.6,0
경상남도,남해군,동부대로,,경상남도 남해군 창선면 대벽리 1073,남해-278,1,,N,34.91546061,128.0296702,2,6,20,N,N,N,24,,N,N,N,N,경상남도 남해군,055-860-3454,2021-04-01,5430000,경상남도 남해군,0.833333333,0
