연도,물피건수,인피건수,사망건수,부상건수,출처,기준일
2008,1188,968,26,1486,시정백서,2020-11-30
2009,1328,1142,30,1683,시정백서,2020-11-30
2010,1101,1138,28,1718,시정백서,2020-11-30
2011,1587,1081,30,1637,시정백서,2020-11-30
2012,1926,1181,31,1709,시정백서,2020-11-30
2013,2140,1031,22,1494,시정백서,2020-11-30
2014,2052,1158,25,1616,시정백서,2020-11-30
2015,2568,1307,19,1876,시정백서,2020-11-30
2016,2880,1214,19,1751,시정백서,2020-11-30
2017,3008,999,17,1421,시정백서,2020-11-30
2018,3377,1126,21,1499,시정백서,2020-11-30
2019,3311,1309,22,1718,시정백서,2020-11-30
