법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
4833010200,48330001,경상남도 양산시1,경상남도 양산시 남부동(경남은행앞 사거리 부근),4,4,0,4,0,0,129.0380085,35.34334525,"{""type"":""Polygon"",""coordinates"":[[[129.0395642,35.3446199],[129.0392308,35.3448441],[129.0388504,35.3450107],[129.0384377,35.3451133],[129.0380085,35.3451479],[129.0375793,35.3451133],[129.0371665,35.3450107],[129.0367862,35.3448441],[129.0364528,35.3446199],[129.0361792,35.3443467],[129.0359759,35.3440351],[129.0358507,35.3436969],[129.0358084,35.3433452],[129.0358507,35.3429936],[129.0359759,35.3426554],[129.0361792,35.3423437],[129.0364528,35.3420706],[129.0367862,35.3418464],[129.0371666,35.3416798],[129.0375793,35.3415772],[129.0380085,35.3415426],[129.0384377,35.3415772],[129.0388504,35.3416798],[129.0392308,35.3418464],[129.0395642,35.3420706],[129.0398378,35.3423437],[129.0400411,35.3426554],[129.0401663,35.3429936],[129.0402086,35.3433452],[129.0401663,35.3436969],[129.0400411,35.3440351],[129.0398378,35.3443467],[129.0395642,35.3446199]]]}"
4833012000,48330002,경상남도 양산시2,경상남도 양산시 덕계동(천불사입구사거리 부근),5,5,0,4,1,0,129.1521221,35.37521119,"{""type"":""Polygon"",""coordinates"":[[[129.1536784,35.3764859],[129.1533449,35.37671],[129.1529644,35.3768766],[129.1525515,35.3769792],[129.1521221,35.3770138],[129.1516927,35.3769792],[129.1512798,35.3768766],[129.1508993,35.37671],[129.1505658,35.3764859],[129.1502921,35.3762127],[129.1500887,35.375901],[129.1499634,35.3755629],[129.1499211,35.3752112],[129.1499634,35.3748595],[129.1500887,35.3745213],[129.1502921,35.3742097],[129.1505658,35.3739365],[129.1508993,35.3737123],[129.1512799,35.3735458],[129.1516927,35.3734432],[129.1521221,35.3734085],[129.1525515,35.3734432],[129.1529644,35.3735458],[129.1533449,35.3737123],[129.1536784,35.3739365],[129.1539521,35.3742097],[129.1541555,35.3745213],[129.1542808,35.3748595],[129.1543231,35.3752112],[129.1542808,35.3755629],[129.1541555,35.375901],[129.1539522,35.3762127],[129.1536784,35.3764859]]]}"
4833010200,48330001,경상남도 양산시1,경상남도 양산시 남부동(남부삼거리 부근),3,3,0,2,1,0,129.0366991,35.33824286,"{""type"":""Polygon"",""coordinates"":[[[129.0382547,35.3395175],[129.0379213,35.3397417],[129.037541,35.3399083],[129.0371283,35.3400109],[129.0366991,35.3400455],[129.0362699,35.3400109],[129.0358572,35.3399083],[129.0354768,35.3397417],[129.0351435,35.3395175],[129.0348699,35.3392444],[129.0346666,35.3389327],[129.0345414,35.3385945],[129.0344991,35.3382428],[129.0345414,35.3378912],[129.0346666,35.337553],[129.0348699,35.3372413],[129.0351435,35.3369682],[129.0354769,35.336744],[129.0358572,35.3365774],[129.0362699,35.3364748],[129.0366991,35.3364402],[129.0371283,35.3364748],[129.037541,35.3365774],[129.0379213,35.336744],[129.0382547,35.3369682],[129.0385283,35.3372413],[129.0387316,35.337553],[129.0388568,35.3378912],[129.038899,35.3382428],[129.0388568,35.3385945],[129.0387316,35.3389327],[129.0385283,35.3392444],[129.0382547,35.3395175]]]}"
4833010300,48330001,경상남도 양산시1,경상남도 양산시 중부동(경남은행앞 사거리 부근),3,3,0,2,0,1,129.0378725,35.34389114,"{""type"":""Polygon"",""coordinates"":[[[129.03966914,35.34389114],[129.03963462,35.34360523],[129.03953238,35.34333031],[129.03936635,35.34307694],[129.03914292,35.34285486],[129.03887066,35.34267261],[129.03856005,35.34253718],[129.03822301,35.34245378],[129.03787251,35.34242562],[129.037522,35.34245378],[129.03718497,35.34253718],[129.03687435,35.34267261],[129.0366021,35.34285486],[129.03637867,35.34307694],[129.03621264,35.34333031],[129.0361104,35.34360523],[129.03607588,35.34389114],[129.0361104,35.34417704],[129.03621264,35.34445196],[129.03637867,35.34470532],[129.0366021,35.3449274],[129.03687435,35.34510965],[129.03718497,35.34524507],[129.037522,35.34532847],[129.03787251,35.34535662],[129.03822301,35.34532847],[129.03856005,35.34524507],[129.03887066,35.34510965],[129.03914292,35.3449274],[129.03936635,35.34470532],[129.03953238,35.34445196],[129.03963462,35.34417704],[129.03966914,35.34389114]]]}"
4833011000,48330002,경상남도 양산시2,경상남도 양산시 교동(최유라음악학원 부근),3,3,0,1,2,0,129.0262116,35.34308827,"{""type"":""Polygon"",""coordinates"":[[[129.02800823,35.34308827],[129.02797371,35.34280236],[129.02787147,35.34252744],[129.02770545,35.34227407],[129.02748201,35.34205199],[129.02720976,35.34186973],[129.02689914,35.3417343],[129.02656211,35.3416509],[129.0262116,35.34162274],[129.0258611,35.3416509],[129.02552406,35.3417343],[129.02521345,35.34186973],[129.02494119,35.34205199],[129.02471776,35.34227407],[129.02455173,35.34252744],[129.02444949,35.34280236],[129.02441497,35.34308827],[129.02444949,35.34337418],[129.02455173,35.3436491],[129.02471776,35.34390246],[129.02494119,35.34412454],[129.02521345,35.34430679],[129.02552406,35.34444222],[129.0258611,35.34452561],[129.0262116,35.34455377],[129.02656211,35.34452561],[129.02689914,35.34444222],[129.02720976,35.34430679],[129.02748201,35.34412454],[129.02770545,35.34390246],[129.02787147,35.3436491],[129.02797371,35.34337418],[129.02800823,35.34308827]]]}"
4833011400,48330001,경상남도 양산시1,경상남도 양산시 삼호동(소주공단입구사거리 부근),4,4,0,2,1,1,129.1706367,35.41435773,"{""type"":""Polygon"",""coordinates"":[[[129.17243337,35.41435773],[129.17239885,35.41407207],[129.17229661,35.41379739],[129.17213058,35.41354425],[129.17190715,35.41332236],[129.17163489,35.41314026],[129.17132428,35.41300495],[129.17098724,35.41292163],[129.17063674,35.41289349],[129.17028623,35.41292163],[129.1699492,35.41300495],[129.16963858,35.41314026],[129.16936633,35.41332236],[129.16914289,35.41354425],[129.16897687,35.41379739],[129.16887463,35.41407207],[129.16884011,35.41435773],[129.16887463,35.41464338],[129.16897687,35.41491806],[129.16914289,35.4151712],[129.16936633,35.41539308],[129.16963858,35.41557518],[129.1699492,35.41571048],[129.17028623,35.4157938],[129.17063674,35.41582194],[129.17098724,35.4157938],[129.17132428,35.41571048],[129.17163489,35.41557518],[129.17190715,35.41539308],[129.17213058,35.4151712],[129.17229661,35.41491806],[129.17239885,35.41464338],[129.17243337,35.41435773]]]}"
4833012000,48330002,경상남도 양산시2,경상남도 양산시 덕계동(덕계지하차도 부근),3,3,0,2,1,0,129.1484882,35.37043576,"{""type"":""Polygon"",""coordinates"":[[[129.1502848,35.37043576],[129.15025028,35.37014994],[129.15014804,35.36987512],[129.14998202,35.36962183],[129.14975858,35.36939982],[129.14948633,35.36921763],[129.14917571,35.36908224],[129.14883868,35.36899887],[129.14848817,35.36897072],[129.14813767,35.36899887],[129.14780063,35.36908224],[129.14749002,35.36921763],[129.14721776,35.36939982],[129.14699433,35.36962183],[129.1468283,35.36987512],[129.14672606,35.37014994],[129.14669154,35.37043576],[129.14672606,35.37072157],[129.1468283,35.37099639],[129.14699433,35.37124967],[129.14721776,35.37147168],[129.14749002,35.37165387],[129.14780063,35.37178925],[129.14813767,35.37187261],[129.14848817,35.37190076],[129.14883868,35.37187261],[129.14917571,35.37178925],[129.14948633,35.37165387],[129.14975858,35.37147168],[129.14998202,35.37124967],[129.15014804,35.37099639],[129.15025028,35.37072157],[129.1502848,35.37043576]]]}"
4833010300,48330001,경상남도 양산시1,경상남도 양산시 중부동(남부시장 부근),6,6,1,3,2,0,129.0374564,35.34188187,"{""type"":""Polygon"",""coordinates"":[[[129.03925298,35.34188187],[129.03921846,35.34159596],[129.03911622,35.34132103],[129.0389502,35.34106766],[129.03872676,35.34084557],[129.03845451,35.34066331],[129.03814389,35.34052788],[129.03780686,35.34044448],[129.03745635,35.34041632],[129.03710585,35.34044448],[129.03676881,35.34052788],[129.0364582,35.34066331],[129.03618594,35.34084557],[129.03596251,35.34106766],[129.03579648,35.34132103],[129.03569424,35.34159596],[129.03565972,35.34188187],[129.03569424,35.34216778],[129.03579648,35.34244271],[129.03596251,35.34269608],[129.03618594,35.34291816],[129.0364582,35.34310041],[129.03676881,35.34323584],[129.03710585,35.34331924],[129.03745635,35.3433474],[129.03780686,35.34331924],[129.03814389,35.34323584],[129.03845451,35.34310041],[129.03872676,35.34291816],[129.0389502,35.34269608],[129.03911622,35.34244271],[129.03921846,35.34216778],[129.03925298,35.34188187]]]}"
4833011400,48330002,경상남도 양산시2,경상남도 양산시 삼호동(서창동행정복지센터 부근),5,6,0,3,2,1,129.1733561,35.41697966,"{""type"":""Polygon"",""coordinates"":[[[129.17515273,35.41697966],[129.17511821,35.41669401],[129.17501597,35.41641934],[129.17484994,35.4161662],[129.17462651,35.41594433],[129.17435425,35.41576223],[129.17404364,35.41562693],[129.1737066,35.41554361],[129.1733561,35.41551547],[129.17300559,35.41554361],[129.17266856,35.41562693],[129.17235794,35.41576223],[129.17208569,35.41594433],[129.17186225,35.4161662],[129.17169623,35.41641934],[129.17159399,35.41669401],[129.17155947,35.41697966],[129.17159399,35.41726531],[129.17169623,35.41753997],[129.17186225,35.41779311],[129.17208569,35.41801498],[129.17235794,35.41819707],[129.17266856,35.41833237],[129.17300559,35.41841569],[129.1733561,35.41844382],[129.1737066,35.41841569],[129.17404364,35.41833237],[129.17435425,35.41819707],[129.17462651,35.41801498],[129.17484994,35.41779311],[129.17501597,35.41753997],[129.17511821,35.41726531],[129.17515273,35.41697966]]]}"
4833011400,48330001,경상남도 양산시1,경상남도 양산시 삼호동(삼호사거리 부근),3,3,1,2,0,0,129.1681905,35.41536908,"{""type"":""Polygon"",""coordinates"":[[[129.16998708,35.41536908],[129.16995256,35.41508343],[129.16985032,35.41480875],[129.1696843,35.41455561],[129.16946086,35.41433373],[129.16918861,35.41415163],[129.16887799,35.41401632],[129.16854096,35.413933],[129.16819045,35.41390486],[129.16783995,35.413933],[129.16750291,35.41401632],[129.1671923,35.41415163],[129.16692004,35.41433373],[129.16669661,35.41455561],[129.16653058,35.41480875],[129.16642835,35.41508343],[129.16639382,35.41536908],[129.16642835,35.41565473],[129.16653058,35.41592941],[129.16669661,35.41618255],[129.16692004,35.41640442],[129.1671923,35.41658651],[129.16750291,35.41672182],[129.16783995,35.41680514],[129.16819045,35.41683327],[129.16854096,35.41680514],[129.16887799,35.41672182],[129.16918861,35.41658651],[129.16946086,35.41640442],[129.1696843,35.41618255],[129.16985032,35.41592941],[129.16995256,35.41565473],[129.16998708,35.41536908]]]}"
