시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도,사고건수
경상북도,영덕군,동해대로,,경상북도 영덕군 남정면 장사리 25,영덕02,"1",N,N,36.286543,129.374264,"4","8","10",Y,N,N,"30","185",N,Y,N,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.333333333,0
경상북도,영덕군,동해대로,,경상북도 영덕군 남정면 장사리 71-1,영덕01,"1",N,N,36.282197,129.374204,"4","8","10",Y,N,N,"30","140",N,Y,N,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.333333333,0
경상북도,영덕군,동해대로,,경상북도 영덕군 강구면 삼사리 328,영덕06,"1",N,N,36.345684,129.381469,"4","8","10",Y,N,N,"31","109",Y,Y,Y,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.322580645,0
경상북도,영덕군,동해대로,,경상북도 영덕군 강구면 오포리 653-4,영덕07,"1",N,N,36.351226,129.378539,"4","8","10",Y,N,N,"30","150",N,Y,N,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.333333333,0
경상북도,영덕군,동해대로,,경상북도 영덕군 강구면 오포리 35-4,영덕08,"1",N,N,36.354298,129.379744,"4","6","10",Y,N,N,"33","147",N,Y,Y,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.303030303,0
경상북도,영덕군,동해대로,,경상북도 영덕군 강구면 오포리 83-9,영덕09,"1",N,N,36.357685,129.380319,"4","8","10",Y,N,N,"25","155",N,Y,Y,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.4,4
경상북도,영덕군,동해대로,,경상북도 영덕군 강구면 오포리 555-2,영덕10,"1",N,N,36.360049,129.379115,"4","8","10",Y,N,N,"34","146",N,Y,N,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.294117647,0
경상북도,영덕군,동해대로,,경상북도 영덕군 병곡면 병곡리 317-6,영덕11,"1",N,N,36.606347,129.411151,"4","6","10",Y,N,N,"24","76",Y,Y,Y,N,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.416666667,0
경상북도,영덕군,동해대로,,경상북도 영덕군 남정면 남호리 288,영덕05,"1",N,N,36.330676,129.378256,"4","8","10",Y,N,N,"31","119",N,Y,N,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.322580645,0
경상북도,영덕군,동해대로,,경상북도 영덕군 남정면 부흥리 76-11,영덕03,"1",N,N,36.292919,129.376928,"4","8","10",Y,N,N,"30","130",N,Y,N,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.333333333,0
경상북도,영덕군,동해대로,,경상북도 영덕군 남정면 구계리 9-7,영덕04,"1",N,N,36.323967,129.380683,"4","8","10",Y,N,N,"29","151",N,Y,N,Y,포항국토관리사무소,054-260-2534,2020/07/15,"5180000",경상북도 영덕군,0.344827586,0
