법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
4613011700,46130001,전라남도 여수시1,전라남도 여수시 국동(신세대학원 부근),3,3,0,2,1,0,127.7207442,34.73547817,"{""type"":""Polygon"",""coordinates"":[[[127.7222884,34.736753],[127.7219575,34.7369772],[127.7215799,34.7371438],[127.7211703,34.7372464],[127.7207442,34.737281],[127.7203181,34.7372464],[127.7199085,34.7371438],[127.7195309,34.7369772],[127.7192,34.736753],[127.7189284,34.7364798],[127.7187266,34.7361681],[127.7186023,34.7358299],[127.7185603,34.7354782],[127.7186023,34.7351264],[127.7187266,34.7347882],[127.7189284,34.7344766],[127.7192,34.7342034],[127.7195309,34.7339792],[127.7199085,34.7338126],[127.7203182,34.73371],[127.7207442,34.7336753],[127.7211702,34.73371],[127.7215799,34.7338126],[127.7219575,34.7339792],[127.7222884,34.7342034],[127.72256,34.7344766],[127.7227618,34.7347882],[127.7228861,34.7351264],[127.7229281,34.7354782],[127.7228861,34.7358299],[127.7227618,34.7361681],[127.72256,34.7364798],[127.7222884,34.736753]]]}"
4613012800,46130002,전라남도 여수시2,전라남도 여수시 학동(쌍봉사거리 부근),3,4,0,4,0,0,127.6627603,34.76709117,"{""type"":""Polygon"",""coordinates"":[[[127.6643052,34.768366],[127.6639741,34.7685902],[127.6635964,34.7687568],[127.6631865,34.7688594],[127.6627603,34.768894],[127.6623341,34.7688594],[127.6619243,34.7687568],[127.6615465,34.7685902],[127.6612155,34.768366],[127.6609438,34.7680928],[127.6607419,34.7677811],[127.6606176,34.7674429],[127.6605756,34.7670912],[127.6606176,34.7667394],[127.6607419,34.7664012],[127.6609438,34.7660896],[127.6612155,34.7658164],[127.6615466,34.7655922],[127.6619243,34.7654256],[127.6623341,34.765323],[127.6627603,34.7652883],[127.6631865,34.765323],[127.6635963,34.7654256],[127.663974,34.7655922],[127.6643051,34.7658164],[127.6645768,34.7660896],[127.6647787,34.7664012],[127.664903,34.7667394],[127.664945,34.7670912],[127.664903,34.7674429],[127.6647787,34.7677811],[127.6645768,34.7680928],[127.6643052,34.768366]]]}"
4613011300,46130003,전라남도 여수시3,전라남도 여수시 서교동(서교동로타리 부근),3,3,1,0,2,0,127.7276529,34.74085856,"{""type"":""Polygon"",""coordinates"":[[[127.7291972,34.7421334],[127.7288663,34.7423576],[127.7284887,34.7425242],[127.728079,34.7426268],[127.7276529,34.7426614],[127.7272268,34.7426268],[127.7268171,34.7425242],[127.7264395,34.7423576],[127.7261085,34.7421334],[127.7258369,34.7418602],[127.7256351,34.7415485],[127.7255108,34.7412103],[127.7254689,34.7408585],[127.7255108,34.7405068],[127.7256351,34.7401686],[127.725837,34.7398569],[127.7261086,34.7395837],[127.7264395,34.7393595],[127.7268171,34.7391929],[127.7272268,34.7390904],[127.7276529,34.7390557],[127.7280789,34.7390904],[127.7284886,34.7391929],[127.7288662,34.7393595],[127.7291972,34.7395837],[127.7294688,34.7398569],[127.7296706,34.7401686],[127.7297949,34.7405068],[127.7298369,34.7408585],[127.7297949,34.7412103],[127.7296706,34.7415485],[127.7294688,34.7418602],[127.7291972,34.7421334]]]}"
4613011900,46130004,전라남도 여수시4,전라남도 여수시 여서동(여수지방해양수산청 부근),3,3,1,0,2,0,127.7088447,34.75459622,"{""type"":""Polygon"",""coordinates"":[[[127.7103893,34.755871],[127.7100583,34.7560952],[127.7096806,34.7562618],[127.7092708,34.7563644],[127.7088447,34.7563991],[127.7084185,34.7563644],[127.7080087,34.7562618],[127.7076311,34.7560952],[127.7073001,34.755871],[127.7070284,34.7555978],[127.7068266,34.7552861],[127.7067023,34.7549479],[127.7066603,34.7545962],[127.7067023,34.7542445],[127.7068266,34.7539063],[127.7070285,34.7535946],[127.7073001,34.7533214],[127.7076311,34.7530972],[127.7080088,34.7529306],[127.7084185,34.752828],[127.7088447,34.7527934],[127.7092708,34.752828],[127.7096806,34.7529306],[127.7100582,34.7530972],[127.7103892,34.7533214],[127.7106609,34.7535946],[127.7108627,34.7539063],[127.7109871,34.7542445],[127.711029,34.7545962],[127.7109871,34.7549479],[127.7108628,34.7552861],[127.7106609,34.7555978],[127.7103893,34.755871]]]}"
4613025000,46130005,전라남도 여수시5,전라남도 여수시 돌산읍(낚시휴게소 부근),3,3,1,2,0,0,127.7447315,34.72734878,"{""type"":""Polygon"",""coordinates"":[[[127.7462756,34.7286236],[127.7459447,34.7288478],[127.7455671,34.7290144],[127.7451575,34.729117],[127.7447315,34.7291516],[127.7443055,34.729117],[127.7438958,34.7290144],[127.7435183,34.7288478],[127.7431874,34.7286236],[127.7429158,34.7283504],[127.742714,34.7280387],[127.7425898,34.7277005],[127.7425478,34.7273488],[127.7425898,34.726997],[127.7427141,34.7266588],[127.7429159,34.7263472],[127.7431874,34.726074],[127.7435183,34.7258498],[127.7438959,34.7256832],[127.7443055,34.7255806],[127.7447315,34.7255459],[127.7451575,34.7255806],[127.7455671,34.7256832],[127.7459446,34.7258498],[127.7462755,34.726074],[127.7465471,34.7263472],[127.7467489,34.7266588],[127.7468732,34.726997],[127.7469151,34.7273488],[127.7468732,34.7277005],[127.7467489,34.7280387],[127.7465471,34.7283504],[127.7462756,34.7286236]]]}"
4613010400,46130006,전라남도 여수시6,전라남도 여수시 관문동(미니스톱 부근),4,4,1,2,0,1,127.7407567,34.74232784,"{""type"":""Polygon"",""coordinates"":[[[127.7423011,34.7436026],[127.7419701,34.7438268],[127.7415925,34.7439934],[127.7411828,34.744096],[127.7407567,34.7441307],[127.7403306,34.744096],[127.7399209,34.7439934],[127.7395433,34.7438268],[127.7392123,34.7436026],[127.7389407,34.7433294],[127.7387389,34.7430177],[127.7386146,34.7426795],[127.7385727,34.7423278],[127.7386146,34.7419761],[127.7387389,34.7416379],[127.7389408,34.7413262],[127.7392124,34.741053],[127.7395433,34.7408288],[127.7399209,34.7406622],[127.7403306,34.7405596],[127.7407567,34.740525],[127.7411828,34.7405596],[127.7415925,34.7406622],[127.7419701,34.7408288],[127.742301,34.741053],[127.7425726,34.7413262],[127.7427745,34.7416379],[127.7428988,34.7419761],[127.7429407,34.7423278],[127.7428988,34.7426795],[127.7427745,34.7430177],[127.7425727,34.7433294],[127.7423011,34.7436026]]]}"
4613012000,46130007,전라남도 여수시7,전라남도 여수시 문수동(문수교 부근),5,6,0,2,4,0,127.709644,34.75794593,"{""type"":""Polygon"",""coordinates"":[[[127.7111887,34.7592207],[127.7108576,34.7594449],[127.71048,34.7596115],[127.7100702,34.7597141],[127.709644,34.7597488],[127.7092178,34.7597141],[127.708808,34.7596115],[127.7084304,34.7594449],[127.7080993,34.7592207],[127.7078277,34.7589475],[127.7076258,34.7586358],[127.7075015,34.7582976],[127.7074596,34.7579459],[127.7075015,34.7575942],[127.7076259,34.757256],[127.7078277,34.7569443],[127.7080994,34.7566711],[127.7084304,34.7564469],[127.7088081,34.7562803],[127.7092178,34.7561777],[127.709644,34.7561431],[127.7100702,34.7561777],[127.7104799,34.7562803],[127.7108576,34.7564469],[127.7111886,34.7566711],[127.7114603,34.7569443],[127.7116622,34.757256],[127.7117865,34.7575942],[127.7118285,34.7579459],[127.7117865,34.7582976],[127.7116622,34.7586358],[127.7114603,34.7589475],[127.7111887,34.7592207]]]}"
4613011100,46130008,전라남도 여수시8,전라남도 여수시 연등동(전국일용근로자협회 부근),5,5,2,2,1,0,127.7286739,34.74615475,"{""type"":""Polygon"",""coordinates"":[[[127.7302183,34.7474295],[127.7298873,34.7476538],[127.7295097,34.7478204],[127.7291,34.7479229],[127.7286739,34.7479576],[127.7282478,34.7479229],[127.727838,34.7478204],[127.7274604,34.7476538],[127.7271294,34.7474295],[127.7268578,34.7471563],[127.726656,34.7468446],[127.7265317,34.7465064],[127.7264897,34.7461547],[127.7265317,34.745803],[127.726656,34.7454648],[127.7268578,34.7451531],[127.7271295,34.7448799],[127.7274604,34.7446557],[127.727838,34.7444891],[127.7282478,34.7443865],[127.7286739,34.7443519],[127.7291,34.7443865],[127.7295097,34.7444891],[127.7298873,34.7446557],[127.7302183,34.7448799],[127.7304899,34.7451531],[127.7306917,34.7454648],[127.730816,34.745803],[127.730858,34.7461547],[127.730816,34.7465064],[127.7306918,34.7468446],[127.7304899,34.7471563],[127.7302183,34.7474295]]]}"
4613010800,46130009,전라남도 여수시9,전라남도 여수시 교동(교동사거리 부근),7,7,0,3,3,1,127.7313533,34.74024949,"{""type"":""Polygon"",""coordinates"":[[[127.7328977,34.7415243],[127.7325667,34.7417485],[127.7321891,34.7419151],[127.7317794,34.7420177],[127.7313533,34.7420523],[127.7309273,34.7420177],[127.7305175,34.7419151],[127.73014,34.7417485],[127.729809,34.7415243],[127.7295374,34.7412511],[127.7293356,34.7409394],[127.7292113,34.7406012],[127.7291694,34.7402495],[127.7292113,34.7398978],[127.7293356,34.7395596],[127.7295374,34.7392479],[127.7298091,34.7389747],[127.73014,34.7387505],[127.7305176,34.7385839],[127.7309273,34.7384813],[127.7313533,34.7384467],[127.7317794,34.7384813],[127.7321891,34.7385839],[127.7325667,34.7387505],[127.7328976,34.7389747],[127.7331692,34.7392479],[127.7333711,34.7395596],[127.7334953,34.7398978],[127.7335373,34.7402495],[127.7334954,34.7406012],[127.7333711,34.7409394],[127.7331693,34.7412511],[127.7328977,34.7415243]]]}"
4613010800,46130001,전라남도 여수시1,전라남도 여수시 교동(교동사거리 부근),14,15,2,6,6,1,127.7315541,34.74026106,"{""type"":""Polygon"",""coordinates"":[[[127.7330984,34.7415359],[127.7327675,34.7417601],[127.7323899,34.7419267],[127.7319802,34.7420293],[127.7315541,34.7420639],[127.731128,34.7420293],[127.7307183,34.7419267],[127.7303407,34.7417601],[127.7300098,34.7415359],[127.7297382,34.7412627],[127.7295363,34.740951],[127.7294121,34.7406128],[127.7293701,34.740261],[127.7294121,34.7399093],[127.7295364,34.7395711],[127.7297382,34.7392594],[127.7300098,34.7389862],[127.7303408,34.738762],[127.7307183,34.7385954],[127.731128,34.7384929],[127.7315541,34.7384582],[127.7319802,34.7384929],[127.7323899,34.7385954],[127.7327674,34.738762],[127.7330984,34.7389862],[127.73337,34.7392594],[127.7335718,34.7395711],[127.7336961,34.7399093],[127.7337381,34.740261],[127.7336961,34.7406128],[127.7335719,34.740951],[127.73337,34.7412627],[127.7330984,34.7415359]]]}"
4613011000,46130002,전라남도 여수시2,전라남도 여수시 충무동(한재사거리 부근),7,7,0,4,2,1,127.7277624,34.74204976,"{""type"":""Polygon"",""coordinates"":[[[127.7293067,34.7433245],[127.7289758,34.7435488],[127.7285982,34.7437154],[127.7281885,34.743818],[127.7277624,34.7438526],[127.7273363,34.743818],[127.7269266,34.7437154],[127.726549,34.7435488],[127.726218,34.7433245],[127.7259464,34.7430513],[127.7257446,34.7427397],[127.7256203,34.7424015],[127.7255783,34.7420497],[127.7256203,34.741698],[127.7257446,34.7413598],[127.7259464,34.7410481],[127.726218,34.7407749],[127.726549,34.7405507],[127.7269266,34.7403841],[127.7273363,34.7402816],[127.7277624,34.7402469],[127.7281884,34.7402816],[127.7285981,34.7403841],[127.7289757,34.7405507],[127.7293067,34.7407749],[127.7295783,34.7410481],[127.7297801,34.7413598],[127.7299044,34.741698],[127.7299464,34.7420497],[127.7299044,34.7424015],[127.7297802,34.7427397],[127.7295783,34.7430513],[127.7293067,34.7433245]]]}"
4613011900,46130003,전라남도 여수시3,전라남도 여수시 여서동(삼성화재해상보험보험국동여수 영업소 부근),4,4,1,1,2,0,127.6988435,34.74878004,"{""type"":""Polygon"",""coordinates"":[[[127.700388,34.7500548],[127.700057,34.750279],[127.6996794,34.7504456],[127.6992696,34.7505482],[127.6988435,34.7505829],[127.6984174,34.7505482],[127.6980076,34.7504456],[127.69763,34.750279],[127.697299,34.7500548],[127.6970274,34.7497816],[127.6968255,34.7494699],[127.6967012,34.7491317],[127.6966593,34.74878],[127.6967013,34.7484283],[127.6968256,34.7480901],[127.6970274,34.7477784],[127.697299,34.7475052],[127.69763,34.747281],[127.6980076,34.7471144],[127.6984174,34.7470118],[127.6988435,34.7469772],[127.6992696,34.7470118],[127.6996793,34.7471144],[127.700057,34.747281],[127.7003879,34.7475052],[127.7006596,34.7477784],[127.7008614,34.7480901],[127.7009857,34.7484283],[127.7010277,34.74878],[127.7009857,34.7491317],[127.7008615,34.7494699],[127.7006596,34.7497816],[127.700388,34.7500548]]]}"
4613012800,46130004,전라남도 여수시4,전라남도 여수시 학동(한국산업은행삼거리 부근),4,4,0,2,2,0,127.6637219,34.76371686,"{""type"":""Polygon"",""coordinates"":[[[127.6652666,34.7649916],[127.6649356,34.7652159],[127.6645579,34.7653825],[127.6641481,34.7654851],[127.6637219,34.7655197],[127.6632957,34.7654851],[127.6628858,34.7653825],[127.6625081,34.7652159],[127.6621771,34.7649916],[127.6619054,34.7647184],[127.6617035,34.7644068],[127.6615792,34.7640686],[127.6615373,34.7637168],[127.6615792,34.7633651],[127.6617036,34.7630269],[127.6619054,34.7627152],[127.6621771,34.762442],[127.6625082,34.7622178],[127.6628859,34.7620512],[127.6632957,34.7619487],[127.6637219,34.761914],[127.664148,34.7619487],[127.6645579,34.7620512],[127.6649355,34.7622178],[127.6652666,34.762442],[127.6655383,34.7627152],[127.6657402,34.7630269],[127.6658645,34.7633651],[127.6659065,34.7637168],[127.6658645,34.7640686],[127.6657402,34.7644068],[127.6655383,34.7647184],[127.6652666,34.7649916]]]}"
4613011200,46130005,전라남도 여수시5,전라남도 여수시 광무동(광무파출소 부근),3,3,1,1,1,0,127.7273054,34.75359729,"{""type"":""Polygon"",""coordinates"":[[[127.72885,34.7548721],[127.728519,34.7550963],[127.7281413,34.7552629],[127.7277316,34.7553655],[127.7273054,34.7554001],[127.7268793,34.7553655],[127.7264695,34.7552629],[127.7260918,34.7550963],[127.7257608,34.7548721],[127.7254892,34.7545989],[127.7252873,34.7542872],[127.725163,34.753949],[127.7251211,34.7535973],[127.7251631,34.7532456],[127.7252874,34.7529074],[127.7254892,34.7525957],[127.7257609,34.7523225],[127.7260919,34.7520983],[127.7264695,34.7519317],[127.7268793,34.7518291],[127.7273054,34.7517944],[127.7277315,34.7518291],[127.7281413,34.7519317],[127.7285189,34.7520983],[127.7288499,34.7523225],[127.7291216,34.7525957],[127.7293235,34.7529074],[127.7294478,34.7532456],[127.7294897,34.7535973],[127.7294478,34.753949],[127.7293235,34.7542872],[127.7291216,34.7545989],[127.72885,34.7548721]]]}"
4613013300,46130006,전라남도 여수시6,전라남도 여수시 신기동(부영3단지사거리 부근),3,3,1,1,1,0,127.6680099,34.75903206,"{""type"":""Polygon"",""coordinates"":[[[127.6695546,34.7603069],[127.6692236,34.7605311],[127.6688459,34.7606977],[127.6684361,34.7608003],[127.6680099,34.7608349],[127.6675837,34.7608003],[127.6671739,34.7606977],[127.6667963,34.7605311],[127.6664652,34.7603069],[127.6661936,34.7600337],[127.6659917,34.759722],[127.6658674,34.7593838],[127.6658254,34.759032],[127.6658674,34.7586803],[127.6659917,34.7583421],[127.6661936,34.7580304],[127.6664653,34.7577573],[127.6667963,34.7575331],[127.667174,34.7573665],[127.6675838,34.7572639],[127.6680099,34.7572292],[127.6684361,34.7572639],[127.6688459,34.7573665],[127.6692235,34.7575331],[127.6695546,34.7577573],[127.6698262,34.7580304],[127.6700281,34.7583421],[127.6701524,34.7586803],[127.6701944,34.759032],[127.6701524,34.7593838],[127.6700281,34.759722],[127.6698263,34.7600337],[127.6695546,34.7603069]]]}"
4613010400,46130007,전라남도 여수시7,전라남도 여수시 관문동(경찰서앞삼거리 부근),3,3,1,1,1,0,127.7404678,34.74110041,"{""type"":""Polygon"",""coordinates"":[[[127.7420122,34.7423752],[127.7416812,34.7425994],[127.7413036,34.742766],[127.7408939,34.7428686],[127.7404678,34.7429033],[127.7400417,34.7428686],[127.739632,34.742766],[127.7392544,34.7425994],[127.7389235,34.7423752],[127.7386519,34.742102],[127.73845,34.7417903],[127.7383258,34.7414521],[127.7382838,34.7411004],[127.7383258,34.7407487],[127.7384501,34.7404105],[127.7386519,34.7400988],[127.7389235,34.7398256],[127.7392545,34.7396014],[127.7396321,34.7394348],[127.7400418,34.7393322],[127.7404678,34.7392976],[127.7408939,34.7393322],[127.7413036,34.7394348],[127.7416812,34.7396014],[127.7420121,34.7398256],[127.7422837,34.7400988],[127.7424856,34.7404105],[127.7426099,34.7407487],[127.7426518,34.7411004],[127.7426099,34.7414521],[127.7424856,34.7417903],[127.7422838,34.742102],[127.7420122,34.7423752]]]}"
4613013300,46130008,전라남도 여수시8,전라남도 여수시 신기동(늘기쁨교회 부근),3,3,0,2,1,0,127.6727817,34.75747433,"{""type"":""Polygon"",""coordinates"":[[[127.6743263,34.7587491],[127.6739953,34.7589733],[127.6736176,34.7591399],[127.6732078,34.7592425],[127.6727817,34.7592772],[127.6723555,34.7592425],[127.6719457,34.7591399],[127.671568,34.7589733],[127.671237,34.7587491],[127.6709654,34.7584759],[127.6707635,34.7581642],[127.6706392,34.757826],[127.6705972,34.7574743],[127.6706392,34.7571226],[127.6707635,34.7567844],[127.6709654,34.7564727],[127.6712371,34.7561995],[127.6715681,34.7559753],[127.6719457,34.7558087],[127.6723555,34.7557061],[127.6727817,34.7556715],[127.6732078,34.7557061],[127.6736176,34.7558087],[127.6739953,34.7559753],[127.6743263,34.7561995],[127.6745979,34.7564727],[127.6747998,34.7567844],[127.6749241,34.7571226],[127.6749661,34.7574743],[127.6749241,34.757826],[127.6747998,34.7581642],[127.674598,34.7584759],[127.6743263,34.7587491]]]}"
4613011500,46130009,전라남도 여수시9,전라남도 여수시 봉산동(신세대학원 부근),3,3,0,2,1,0,127.7208466,34.73555126,"{""type"":""Polygon"",""coordinates"":[[[127.7223909,34.7368261],[127.7220599,34.7370503],[127.7216824,34.7372169],[127.7212727,34.7373195],[127.7208466,34.7373541],[127.7204206,34.7373195],[127.7200109,34.7372169],[127.7196333,34.7370503],[127.7193024,34.7368261],[127.7190308,34.7365529],[127.718829,34.7362412],[127.7187047,34.735903],[127.7186628,34.7355512],[127.7187047,34.7351995],[127.718829,34.7348613],[127.7190308,34.7345496],[127.7193024,34.7342764],[127.7196334,34.7340522],[127.7200109,34.7338856],[127.7204206,34.7337831],[127.7208466,34.7337484],[127.7212727,34.7337831],[127.7216823,34.7338856],[127.7220599,34.7340522],[127.7223908,34.7342764],[127.7226624,34.7345496],[127.7228642,34.7348613],[127.7229885,34.7351995],[127.7230305,34.7355512],[127.7229885,34.735903],[127.7228643,34.7362412],[127.7226625,34.7365529],[127.7223909,34.7368261]]]}"
4613011200,46130010,전라남도 여수시10,전라남도 여수시 광무동(시민회관앞삼거리 부근),2,2,2,0,0,0,127.7287622,34.74698106,"{""type"":""Polygon"",""coordinates"":[[[127.7303066,34.7482559],[127.7299757,34.7484801],[127.729598,34.7486467],[127.7291883,34.7487493],[127.7287622,34.7487839],[127.7283361,34.7487493],[127.7279263,34.7486467],[127.7275487,34.7484801],[127.7272177,34.7482559],[127.7269461,34.7479827],[127.7267443,34.747671],[127.72662,34.7473328],[127.726578,34.746981],[127.72662,34.7466293],[127.7267443,34.7462911],[127.7269461,34.7459794],[127.7272178,34.7457063],[127.7275487,34.745482],[127.7279264,34.7453155],[127.7283361,34.7452129],[127.7287622,34.7451782],[127.7291883,34.7452129],[127.729598,34.7453155],[127.7299756,34.745482],[127.7303066,34.7457063],[127.7305782,34.7459794],[127.7307801,34.7462911],[127.7309044,34.7466293],[127.7309463,34.746981],[127.7309044,34.7473328],[127.7307801,34.747671],[127.7305783,34.7479827],[127.7303066,34.7482559]]]}"
4613010800,46130001,전라남도 여수시1,전라남도 여수시 교동(KT(여수지사) 부근),11,13,3,9,1,0,127.7288672,34.74029665,"{""type"":""Polygon"",""coordinates"":[[[127.7304115,34.7415714],[127.7300806,34.7417957],[127.729703,34.7419623],[127.7292933,34.7420649],[127.7288672,34.7420995],[127.7284411,34.7420649],[127.7280314,34.7419623],[127.7276538,34.7417957],[127.7273229,34.7415714],[127.7270513,34.7412982],[127.7268494,34.7409866],[127.7267252,34.7406484],[127.7266832,34.7402966],[127.7267252,34.7399449],[127.7268495,34.7396067],[127.7270513,34.739295],[127.7273229,34.7390218],[127.7276539,34.7387976],[127.7280314,34.738631],[127.7284411,34.7385284],[127.7288672,34.7384938],[127.7292933,34.7385284],[127.729703,34.738631],[127.7300805,34.7387976],[127.7304115,34.7390218],[127.7306831,34.739295],[127.7308849,34.7396067],[127.7310092,34.7399449],[127.7310512,34.7402966],[127.7310092,34.7406484],[127.730885,34.7409866],[127.7306831,34.7412982],[127.7304115,34.7415714]]]}"
