시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도,사고건수
전라남도,함평군,해삼로,,전라남도 함평군 해보면 문장리 822-99,C0080,"1",N,N,35.180679,126.605053,"2","6","14",Y,N,N,"25","156",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.56,0
전라남도,함평군,해삼로,,전라남도 함평군 해보면 문장리 822-105,C0081,"1",N,N,35.180883,126.605011,"2","6","14",Y,N,N,"25","160",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.56,0
전라남도,함평군,밀재로,,전라남도 함평군 해보면 문장리 822-93,C0083,"1",N,N,35.180828,126.604829,"2","4","6",Y,N,N,"25","160",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.24,0
전라남도,함평군,밀재로,,전라남도 함평군 해보면 문장리 822-126,C0084,"1",N,N,35.18083089,126.6053361,"2","4","6",Y,N,N,"25","159",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.24,0
전라남도,함평군,밀재로,,전라남도 함평군 월야면 월야리 494-31,C0086,"1",N,N,35.1799373,126.6271302,"2","4","8",Y,N,N,"25","161",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.32,0
전라남도,함평군,영수길,,전라남도 함평군 함평읍 기각리 961-7,C0054,"1",N,N,35.06538236,126.5223857,"2","4","14",Y,N,N,"25","165",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.56,0
전라남도,함평군,영수길,,전라남도 함평군 함평읍 기각리 375-31,C0055,"1",N,N,35.065969,126.523685,"2","4","11",Y,N,N,"25","165",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.44,0
전라남도,함평군,영수길,,전라남도 함평군 함평읍 기각리 438-6,C0056,"1",N,N,35.066371,126.525483,"3","6","11",Y,N,N,"25","165",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.44,0
전라남도,함평군,영수길,,전라남도 함평군 함평읍 기각리 375-32,C0057,"1",N,N,35.066434,126.525672,"3","6","11",Y,N,N,"25","165",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.44,0
전라남도,함평군,영수길,,전라남도 함평군 대동면 향교리 845-3,C0058,"1",N,N,35.067812,126.530713,"3","4","13",Y,N,N,"20","140",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.65,0
전라남도,함평군,영수길,,전라남도 함평군 대동면 향교리 828-12,C0059,"1",N,N,35.067914,126.530731,"2","6","7",Y,N,N,"20","140",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.35,0
전라남도,함평군,영수길,,전라남도 함평군 대동면 향교리 829-1,C0060,"1",N,N,35.06766036,126.5305334,"3","4","13",Y,N,N,"24","156",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.541666667,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 62-3,C0001,"1",N,N,35.059856,126.524082,"4","6","17",Y,N,N,"25","160",Y,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.68,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 2-6,C0002,"1",N,N,35.059939,126.524161,"2","6","9",Y,N,N,"25","160",Y,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.36,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 기각리 154-6,C0003,"1",N,N,35.059578,126.526009,"4","5","16",Y,N,N,"23","160",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.695652174,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 67-3,C0004,"1",N,N,35.059426,126.522247,"4","6","20",Y,N,N,"25","165",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.8,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 67-7,C0005,"1",N,N,35.059426,126.522406,"4","6","17",Y,N,N,"28","162",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.607142857,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 828-20,C0006,"1",N,N,35.058614,126.521189,"4","6","20",Y,N,N,"28","162",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.714285714,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 40-3,C0007,"1",N,N,35.058585,126.519858,"4","6","20",Y,N,N,"28","162",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.714285714,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 40-5,C0008,"1",N,N,35.058664,126.519759,"4","6","17",Y,N,N,"25","165",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.68,0
전라남도,함평군,함장로,,전라남도 함평군 함평읍 내교리 37-4,C0009,"1",N,N,35.058536,126.519932,"4","6","17",Y,N,N,"28","122",N,Y,N,N,함평군,061-320-1587,2020/09/03,"4960000",전라남도 함평군,0.607142857,0
