시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도
경상남도,양산시,양산대로,,경상남도 양산시 하북면 용연리 1089-8,양산신-1001,1,N,N,35.431776,129.067611,6,8,25,Y,N,N,25,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,1
경상남도,양산시,양산대로,,경상남도 양산시 하북면 용연리 1012-4,양산신-1002,1,N,N,35.433768,129.068334,4,8,16,Y,Y,N,25,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.64
경상남도,양산시,양산대로,,경상남도 양산시 하북면 용연리 1145-3,양산신-1005,1,N,N,35.442733,129.072161,5,8,17,Y,N,N,23,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7391304348
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 1040-1,양산신-1007,1,N,N,35.455274,129.076969,6,8,21,Y,N,N,22,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.9545454545
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 1009-3,양산신-1008,1,N,N,35.460196,129.079229,6,8,27,Y,N,N,33,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.8181818182
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 718-4,양산신-1010,1,N,N,35.470157,129.084607,5,8,17,Y,Y,N,23,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7391304348
경상남도,양산시,양산대로,,경상남도 양산시 하북면 백록리 654-56,양산신-1011,1,N,N,35.472799,129.085677,5,8,16,Y,N,N,22,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7272727273
경상남도,양산시,양산대로,,경상남도 양산시 하북면 초산리 322-149,양산신-1014,1,N,N,35.483998,129.086414,4,8,15,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.75
경상남도,양산시,양산대로,,경상남도 양산시 하북면 초산리 73-6,양산신-1015,1,N,N,35.487848,129.085817,5,8,17,Y,N,N,22,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7727272727
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 808,양산신-1015,1,N,N,35.487991,129.086477,5,8,18,Y,N,N,24,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.75
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,5,8,23,Y,N,N,22,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,1.045454545
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,5,8,21,Y,N,N,22,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.9545454545
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,3,8,11,Y,N,N,20,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.55
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 725-2,양산신-1016,1,N,N,35.488709,129.088091,3,8,10,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.5
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 723-3,양산신-1017,1,N,N,35.488347,129.088231,2,4,9,Y,N,N,24,,Y,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.375
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 723-3,양산신-1017,1,N,N,35.488347,129.088231,1,4,14,Y,N,N,20,,Y,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 723-3,양산신-1017,1,N,N,35.488347,129.088231,1,4,10,Y,N,N,50,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.2
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 86-9,양산신-1018,1,N,N,35.489381,129.089029,4,8,18,Y,N,N,25,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.72
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 134-14,양산신-1020,1,N,N,35.493905,129.090495,5,8,17,Y,N,N,21,,N,Y,Y,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.8095238095
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 134-14,양산신-1020,1,N,N,35.493905,129.090495,3,8,13,Y,N,N,20,,N,Y,Y,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.65
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 227-1,양산신-1021,1,N,N,35.496664,129.091204,5,8,15,Y,N,N,19,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7894736842
경상남도,양산시,양산대로,,경상남도 양산시 하북면 순지리 227-1,양산신-1021,1,N,N,35.496664,129.091204,2,4,17,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.85
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,4,8,17,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.85
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,2,4,12,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.6
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,4,8,16,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.8
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 493,양산신-1022,1,N,N,35.493763,129.083891,4,8,15,Y,N,N,20,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.75
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 830,양산신-1024,1,N,N,35.493746,129.083847,4,8,14,Y,N,N,20,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 830,양산신-1024,1,N,N,35.493746,129.083847,4,8,15,Y,N,N,20,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.75
경상남도,양산시,신평로,,경상남도 양산시 하북면 순지리 830,양산신-1024,1,N,N,35.493746,129.083847,4,8,15,Y,N,N,20,,N,Y,N,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.75
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 502-36,양산신-2001,1,N,N,35.375252,129.047117,5,8,37,Y,N,N,41,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.9024390244
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 502-36,양산신-2001,1,N,N,35.375252,129.047117,4,8,15,Y,N,N,19,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.7894736842
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 502-36,양산신-2001,1,N,N,35.375252,129.047117,1,4,9,Y,N,N,13,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.6923076923
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 502-36,양산신-2001,1,N,N,35.379929,129.048745,1,4,9,Y,N,N,13,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.6923076923
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 456-7,양산신-2002,1,N,N,35.379929,129.048745,9,8,30,Y,N,N,32,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.9375
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 456-7,양산신-2002,1,N,N,35.379929,129.048745,4,8,17,Y,N,N,21,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.8095238095
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 583-8,양산신-2003,1,N,N,35.380879,129.049675,1,4,5,Y,N,N,20,,Y,Y,Y,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.25
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 583-8,양산신-2003,1,N,N,35.380879,129.049675,7,8,30,Y,N,N,37,,N,Y,Y,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.8108108108
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 583-8,양산신-2003,1,N,N,35.380879,129.049675,3,8,7,Y,N,N,31,,Y,Y,Y,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.2258064516
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 583-8,양산신-2003,1,N,N,35.380879,129.049675,1,4,6,Y,N,N,5,,Y,Y,Y,N,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,1.2
경상남도,양산시,충렬로,,경상남도 양산시 유산동 162-18,양산신-2005,1,N,N,35.364374,129.038603,5,8,19,Y,N,N,25,,Y,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.76
경상남도,양산시,양산대로,,경상남도 양산시 상북면 소토리 911-1,양산신-2006,1,Y,N,35.387924,129.051026,3,8,16,Y,N,N,30,,N,Y,N,Y,양산시 교통과,055-392-2883,2021-05-10,5380000,경상남도 양산시,0.5333333333
