시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도
전라남도,여수시,성산로,전라남도 여수시 대통로 90,전라남도 여수시 화장동 842-7,C0380,01,N,N,34.7762439,127.6454797,6,8,28,Y,N,N,30,120,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,0.9333333333
전라남도,여수시,성산로,,전라남도 여수시 화장동 841-14,C0381,01,Y,N,34.7760001,127.6457001,6,8,28,Y,N,N,30,120,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,0.9333333333
전라남도,여수시,성산로,전라남도 여수시 무선로 221,전라남도 여수시 화장동 781-1,C0384,01,N,N,34.7786453,127.6492146,6,8,28,Y,N,N,30,120,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,0.9333333333
전라남도,여수시,성산4길,전라남도 여수시 성산로 86,전라남도 여수시 화장동 789-1,C0390,01,Y,N,34.7763255,127.6462653,6,8,28,Y,N,N,25,125,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,1.12
전라남도,여수시,예울마루로,,전라남도 여수시 웅천동 1684,C0391,04,Y,N,34.7450001,127.6745001,7,8,30,Y,N,N,30,130,Y,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,1
전라남도,여수시,예울마루로,전라남도 여수시 예울마루로 35-23,전라남도 여수시 웅천동 1698-1,C0393,04,Y,N,34.74683585,127.6717238,9,8,30,Y,N,N,30,130,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,1
전라남도,여수시,웅천중앙로,,전라남도 여수시 웅천동 1686,C0398,01,N,Y,34.7490001,127.671001,4,6,12,Y,N,Y,23,77,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,0.5217391304
전라남도,여수시,웅천중앙로,전라남도 여수시 웅천중앙로 56,전라남도 여수시 웅천동 1685-2,C0399,01,N,N,34.7489313,127.6733841,4,6,12,Y,N,Y,23,77,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,0.5217391304
전라남도,여수시,웅천중앙로,,전라남도 여수시 웅천동 1673,C0400,01,N,N,34.7490001,127.6738001,4,6,12,Y,N,Y,23,77,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,0.5217391304
전라남도,여수시,웅천중앙로,,전라남도 여수시 웅천동 1678-8,C0401,01,N,N,34.7470001,127.6762001,4,6,12,N,N,Y,23,137,N,Y,Y,N,전라남도 여수시청,061-659-5213,2020-10-01,4810000,전라남도 여수시,0.5217391304
