시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,속도
충청남도,태안군,군도2호,,충청남도 태안군 원북면 황촌리 930-4,448250001,01,N,N,36.846565,126.216539,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도2호,,충청남도 태안군 원북면 신두리 1390-3,448250001,01,N,N,36.826018,126.188378,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도2호,,충청남도 태안군 원북면 신두리 1140-12,448250001,01,N,N,36.825193,126.189215,2,6,10,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1428571429
충청남도,태안군,군도2호,,충청남도 태안군 원북면 신두리 734-2,448250001,01,N,N,36.827530,126.207307,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도2호,,충청남도 태안군 원북면 신두리 502-1,448250001,01,N,N,36.831120,126.212335,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도2호,,충청남도 태안군 원북면 신두리 433-1,448250001,01,N,N,36.831294,126.213732,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도13호,,충청남도 태안군 태안읍 상옥리 562-5,448250001,01,N,N,36.778060,126.330500,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도13호,,충청남도 태안군 태안읍 상옥리 518-6,448250001,01,N,N,36.773547,126.327417,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도13호,,충청남도 태안군 태안읍 상옥리 956-1,448250001,01,N,N,36.767955,126.321278,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도13호,,충청남도 태안군 태안읍 평천리 1442,448250001,01,N,N,36.752838,126.318953,2,6,8,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1142857143
충청남도,태안군,군도13호,,충청남도 태안군 태안읍 상옥리 411-3,448250001,01,N,N,36.770325,126.325079,2,6,10,N,N,N,70,90,N,N,N,N,태안군,041-670-2902,2020-12-01,4620000,충청남도 태안군,0.1428571429
